link,season,episode,title
https://transcripts.foreverdreaming.org/viewtopic.php?t=29552,07,04,"They Serve Horses, Dont They"
https://transcripts.foreverdreaming.org/viewtopic.php?t=29244,07,03,Teen-a Witch
https://transcripts.foreverdreaming.org/viewtopic.php?t=28985,07,02,Sea Me Now
https://transcripts.foreverdreaming.org/viewtopic.php?t=28772,07,01,Flu-ouise
https://transcripts.foreverdreaming.org/viewtopic.php?t=27326,06,19,"Glued, Where's My Bob?"
https://transcripts.foreverdreaming.org/viewtopic.php?t=27325,06,18,Secret Admiral-irer
https://transcripts.foreverdreaming.org/viewtopic.php?t=27232,06,17,The Horse Rider-Er
https://transcripts.foreverdreaming.org/viewtopic.php?t=27071,06,16,Bye Bye Boo Boo
https://transcripts.foreverdreaming.org/viewtopic.php?t=26856,06,15,Pro Tiki Con Tiki
https://transcripts.foreverdreaming.org/viewtopic.php?t=26694,06,14,The Hormone-iums
https://transcripts.foreverdreaming.org/viewtopic.php?t=26570,06,13,Wag the Hog
https://transcripts.foreverdreaming.org/viewtopic.php?t=26410,06,12,Stand by Gene
https://transcripts.foreverdreaming.org/viewtopic.php?t=26409,06,11,House of 1000 Bounces
https://transcripts.foreverdreaming.org/viewtopic.php?t=26016,06,10,Lice Things Are Lice
https://transcripts.foreverdreaming.org/viewtopic.php?t=25787,06,09,Sacred Couch
https://transcripts.foreverdreaming.org/viewtopic.php?t=25516,06,08,Sexy Dance Healing
https://transcripts.foreverdreaming.org/viewtopic.php?t=25204,06,07,The Gene and Courtney Show
https://transcripts.foreverdreaming.org/viewtopic.php?t=24787,06,06,"The Cook, the Steve, the Gayle, and Her Lover"
https://transcripts.foreverdreaming.org/viewtopic.php?t=23781,06,05,Nice Capades
https://transcripts.foreverdreaming.org/viewtopic.php?t=23640,06,04,Gayle Making Bob Sled
https://transcripts.foreverdreaming.org/viewtopic.php?t=23183,06,03,Hauntening
https://transcripts.foreverdreaming.org/viewtopic.php?t=22983,06,02,The Land Ship
https://transcripts.foreverdreaming.org/viewtopic.php?t=22636,06,01,Sliding Bobs
https://transcripts.foreverdreaming.org/viewtopic.php?t=20997,05,20,Hawk & Chick
https://transcripts.foreverdreaming.org/viewtopic.php?t=20998,05,21,The Oeder Games
https://transcripts.foreverdreaming.org/viewtopic.php?t=20996,05,19,Housetrap
